case_id,product_id,product_type,case_type,scenario,problem_desc,root_cause,solution,lessons_learned,best_practices,tags
CASE0043,PROD0043,股票型,成功案例,股票型产品系统问题问题,交易执行环节系统问题,流程设计问题,修复系统,在股票型产品流程设计中，需要特别注意系统问题风险,建议：修复系统,"股票型,系统问题,中影响"
CASE0044,PROD0043,股票型,成功案例,股票型产品错误问题,清算处理环节出现数据错误，需要重新处理,系统bug,修正数据源,在股票型产品流程设计中，需要特别注意错误风险,建议：修正数据源,"股票型,错误,中影响"
CASE0045,PROD0043,股票型,失败案例,股票型产品遗漏问题,估值数据准备环节遗漏关键步骤或数据,人员疏忽,加强培训,在股票型产品流程设计中，需要特别注意遗漏风险,建议：加强培训,"股票型,遗漏,高影响"
CASE0046,PROD0043,股票型,失败案例,股票型产品协作问题问题,信息披露准备环节协作问题,协作问题,修复系统,在股票型产品流程设计中，需要特别注意协作问题风险,建议：修复系统,"股票型,协作问题,高影响"
CASE0047,PROD0044,FOF,成功案例,FOF产品系统问题问题,托管行估值核对环节系统问题,协作问题,加强培训,在FOF产品流程设计中，需要特别注意系统问题风险,建议：加强培训,"FOF,系统问题,低影响"
CASE0048,PROD0045,货币型,成功案例,货币型产品延迟问题,托管行核对环节执行延迟，超出计划时间-16分钟,系统响应慢,调整时间安排,在货币型产品流程设计中，需要特别注意延迟风险,建议：调整时间安排,"货币型,延迟,低影响"
CASE0049,PROD0046,债券型,成功案例,债券型产品延迟问题,清算数据接收环节执行延迟，超出计划时间-30分钟,数据准备不及时,加强协作机制,在债券型产品流程设计中，需要特别注意延迟风险,建议：加强协作机制,"债券型,延迟,低影响"
CASE0050,PROD0048,QDII,成功案例,QDII产品系统问题问题,交易指令接收环节系统问题,系统问题,修复系统,在QDII产品流程设计中，需要特别注意系统问题风险,建议：修复系统,"QDII,系统问题,低影响"
CASE0051,PROD0048,QDII,失败案例,QDII产品延迟问题,清算数据接收环节执行延迟，超出计划时间-52分钟,数据准备不及时,加强协作机制,在QDII产品流程设计中，需要特别注意延迟风险,建议：加强协作机制,"QDII,延迟,高影响"
CASE0052,PROD0049,债券型,失败案例,债券型产品延迟问题,交易指令接收环节执行延迟，超出计划时间-26分钟,人员协调问题,调整时间安排,在债券型产品流程设计中，需要特别注意延迟风险,建议：调整时间安排,"债券型,延迟,高影响"
CASE0053,PROD0049,债券型,失败案例,债券型产品数据问题问题,托管行估值核对环节数据问题,协作问题,优化流程,在债券型产品流程设计中，需要特别注意数据问题风险,建议：优化流程,"债券型,数据问题,高影响"
CASE0054,PROD0001,股票型,成功案例,股票型产品流程优化,初始流程设计中估值核对环节耗时过长,托管行核对流程不够自动化,与托管行协商建立自动化核对接口,提前与托管行沟通技术对接方案可以大幅提升效率,在产品设计阶段就与托管行确定技术对接方案,"股票型,流程优化,自动化"
CASE0055,PROD0002,债券型,成功案例,债券型产品清算流程简化,清算流程步骤过多，容易出错,流程设计过于复杂,合并部分可以并行的步骤，简化流程,流程设计应当追求简洁高效，避免不必要的复杂性,定期review流程，持续优化,"债券型,流程简化,效率提升"
