issue_id,process_id,product_id,step_id,issue_type,issue_desc,root_cause,solution,impact_level,occurrence_time,resolution_time
PROD0009_V2_STEP001_ISSUE,PROD0009_V2,PROD0009,PROD0009_V2_STEP001,数据问题,交易指令接收环节数据问题,人员问题,优化流程,中,2023-07-09 09:18:06,2023-07-09 09:36:13
PROD0009_V2_STEP004_ISSUE,PROD0009_V2,PROD0009,PROD0009_V2_STEP004,遗漏,清算数据接收环节遗漏关键步骤或数据,系统提示不足,加强培训,中,2023-07-09 11:28:56,2023-07-09 11:56:30
PROD0009_V2_STEP010_ISSUE,PROD0009_V2,PROD0009,PROD0009_V2_STEP010,遗漏,估值结果确认环节遗漏关键步骤或数据,检查清单缺失,建立检查清单,高,2023-07-09 19:26:44,2023-07-09 19:43:26
PROD0010_V1_STEP001_ISSUE,PROD0010_V1,PROD0010,PROD0010_V1_STEP001,协作问题,交易指令接收环节协作问题,系统问题,修复系统,低,2023-08-02 09:21:52,2023-08-02 09:43:45
PROD0010_V1_STEP004_ISSUE,PROD0010_V1,PROD0010,PROD0010_V1_STEP004,数据问题,清算数据接收环节数据问题,人员问题,修复系统,低,2023-08-02 12:12:48,2023-08-02 12:55:43
PROD0010_V2_STEP008_ISSUE,PROD0010_V2,PROD0010,PROD0010_V2_STEP008,遗漏,估值计算环节遗漏关键步骤或数据,检查清单缺失,完善流程设计,中,2023-06-23 18:28:01,2023-06-23 19:41:42
PROD0011_V1_STEP011_ISSUE,PROD0011_V1,PROD0011,PROD0011_V1_STEP011,协作问题,信息披露准备环节协作问题,系统问题,加强培训,中,2023-09-22 20:49:47,2023-09-22 21:16:58
PROD0011_V1_STEP013_ISSUE,PROD0011_V1,PROD0011,PROD0011_V1_STEP013,错误,信息披露发布环节出现数据错误，需要重新处理,计算公式错误,修正计算逻辑,低,2023-09-22 22:40:20,2023-09-22 22:55:51
PROD0011_V2_STEP003_ISSUE,PROD0011_V2,PROD0011,PROD0011_V2_STEP003,遗漏,交易确认环节遗漏关键步骤或数据,流程设计不完整,完善流程设计,中,2023-11-04 11:08:47,2023-11-04 11:22:16
PROD0011_V2_STEP010_ISSUE,PROD0011_V2,PROD0011,PROD0011_V2_STEP010,系统问题,估值结果确认环节系统问题,人员问题,加强培训,高,2023-11-04 22:11:17,2023-11-04 22:29:33
PROD0013_V1_STEP001_ISSUE,PROD0013_V1,PROD0013,PROD0013_V1_STEP001,延迟,交易指令接收环节执行延迟，超出计划时间-24分钟,前置步骤延迟,加强协作机制,低,2023-08-19 09:17:45,2023-08-19 09:35:31
PROD0014_V1_STEP002_ISSUE,PROD0014_V1,PROD0014,PROD0014_V1_STEP002,数据问题,交易执行环节数据问题,系统问题,改进协作,高,2023-05-13 09:45:05,2023-05-13 10:05:33
PROD0014_V1_STEP004_ISSUE,PROD0014_V1,PROD0014,PROD0014_V1_STEP004,协作问题,估值计算环节协作问题,协作问题,修复系统,中,2023-05-13 10:54:27,2023-05-13 11:13:40
PROD0015_V1_STEP002_ISSUE,PROD0015_V1,PROD0015,PROD0015_V1_STEP002,延迟,交易执行环节执行延迟，超出计划时间-41分钟,系统响应慢,升级系统性能,低,2023-08-25 10:20:23,2023-08-25 11:00:02
PROD0015_V1_STEP008_ISSUE,PROD0015_V1,PROD0015,PROD0015_V1_STEP008,协作问题,估值计算环节协作问题,协作问题,修复系统,低,2023-08-25 19:06:58,2023-08-25 20:31:42
PROD0015_V1_STEP011_ISSUE,PROD0015_V1,PROD0015,PROD0015_V1_STEP011,协作问题,信息披露准备环节协作问题,系统问题,加强培训,中,2023-08-25 23:59:57,2023-08-26 00:44:55
PROD0016_V1_STEP003_ISSUE,PROD0016_V1,PROD0016,PROD0016_V1_STEP003,数据问题,交易确认环节数据问题,人员问题,加强培训,低,2023-08-17 11:19:53,2023-08-17 11:42:17
PROD0016_V1_STEP004_ISSUE,PROD0016_V1,PROD0016,PROD0016_V1_STEP004,协作问题,清算数据接收环节协作问题,流程设计问题,加强培训,高,2023-08-17 12:16:23,2023-08-17 12:50:28
PROD0016_V1_STEP012_ISSUE,PROD0016_V1,PROD0016,PROD0016_V1_STEP012,延迟,信息披露审核环节执行延迟，超出计划时间-31分钟,数据准备不及时,调整时间安排,高,2023-08-17 23:37:46,2023-08-18 00:22:18
PROD0016_V1_STEP013_ISSUE,PROD0016_V1,PROD0016,PROD0016_V1_STEP013,系统问题,信息披露发布环节系统问题,人员问题,加强培训,高,2023-08-18 00:43:06,2023-08-18 01:03:54
PROD0016_V2_STEP010_ISSUE,PROD0016_V2,PROD0016,PROD0016_V2_STEP010,数据问题,估值结果确认环节数据问题,流程设计问题,修复系统,中,2023-09-09 20:08:45,2023-09-09 20:26:43
PROD0017_V1_STEP005_ISSUE,PROD0017_V1,PROD0017,PROD0017_V1_STEP005,数据问题,清算处理环节数据问题,协作问题,加强培训,中,2023-06-04 13:40:17,2023-06-04 14:35:39
PROD0017_V1_STEP006_ISSUE,PROD0017_V1,PROD0017,PROD0017_V1_STEP006,错误,托管行清算核对环节出现数据错误，需要重新处理,人工操作失误,修正数据源,中,2023-06-04 15:16:48,2023-06-04 15:57:56
PROD0017_V2_STEP001_ISSUE,PROD0017_V2,PROD0017,PROD0017_V2_STEP001,错误,交易指令接收环节出现数据错误，需要重新处理,计算公式错误,修正计算逻辑,中,2023-12-25 09:19:16,2023-12-25 09:38:32
PROD0017_V2_STEP002_ISSUE,PROD0017_V2,PROD0017,PROD0017_V2_STEP002,遗漏,交易执行环节遗漏关键步骤或数据,人员疏忽,加强培训,低,2023-12-25 10:10:33,2023-12-25 10:42:34
PROD0017_V2_STEP007_ISSUE,PROD0017_V2,PROD0017,PROD0017_V2_STEP007,延迟,估值数据准备环节执行延迟，超出计划时间-32分钟,人员协调问题,升级系统性能,高,2023-12-25 15:21:04,2023-12-25 15:35:04
PROD0018_V1_STEP001_ISSUE,PROD0018_V1,PROD0018,PROD0018_V1_STEP001,协作问题,交易指令接收环节协作问题,系统问题,修复系统,高,2023-09-26 09:13:33,2023-09-26 09:27:07
PROD0018_V1_STEP003_ISSUE,PROD0018_V1,PROD0018,PROD0018_V1_STEP003,遗漏,清算处理环节遗漏关键步骤或数据,人员疏忽,优化系统提示,低,2023-09-26 11:58:58,2023-09-26 13:05:18
PROD0018_V1_STEP006_ISSUE,PROD0018_V1,PROD0018,PROD0018_V1_STEP006,延迟,托管行估值核对环节执行延迟，超出计划时间-58分钟,人员协调问题,加强协作机制,高,2023-09-26 16:52:31,2023-09-26 17:23:33
PROD0019_V1_STEP007_ISSUE,PROD0019_V1,PROD0019,PROD0019_V1_STEP007,系统问题,估值数据准备环节系统问题,流程设计问题,加强培训,高,2023-05-31 16:57:07,2023-05-31 17:40:58
PROD0020_V1_STEP003_ISSUE,PROD0020_V1,PROD0020,PROD0020_V1_STEP003,数据问题,清算处理环节数据问题,协作问题,改进协作,中,2023-07-04 10:00:36,2023-07-04 10:17:00
PROD0020_V2_STEP003_ISSUE,PROD0020_V2,PROD0020,PROD0020_V2_STEP003,遗漏,清算处理环节遗漏关键步骤或数据,检查清单缺失,建立检查清单,高,2023-05-13 09:52:04,2023-05-13 10:05:13
PROD0020_V2_STEP004_ISSUE,PROD0020_V2,PROD0020,PROD0020_V2_STEP004,数据问题,估值计算环节数据问题,人员问题,修复系统,低,2023-05-13 10:17:47,2023-05-13 10:30:22
PROD0021_V1_STEP005_ISSUE,PROD0021_V1,PROD0021,PROD0021_V1_STEP005,协作问题,托管行核对环节协作问题,流程设计问题,加强培训,中,2023-07-31 11:26:08,2023-07-31 11:46:33
PROD0022_V1_STEP005_ISSUE,PROD0022_V1,PROD0022,PROD0022_V1_STEP005,协作问题,估值计算环节协作问题,人员问题,优化流程,低,2023-08-03 14:16:48,2023-08-03 15:14:16
PROD0023_V1_STEP001_ISSUE,PROD0023_V1,PROD0023,PROD0023_V1_STEP001,协作问题,交易指令接收环节协作问题,人员问题,优化流程,低,2023-08-26 09:14:47,2023-08-26 09:29:34
PROD0023_V1_STEP010_ISSUE,PROD0023_V1,PROD0023,PROD0023_V1_STEP010,数据问题,估值结果确认环节数据问题,协作问题,加强培训,高,2023-08-26 19:24:13,2023-08-26 19:44:19
PROD0023_V2_STEP003_ISSUE,PROD0023_V2,PROD0023,PROD0023_V2_STEP003,协作问题,交易确认环节协作问题,协作问题,修复系统,低,2023-06-12 10:46:00,2023-06-12 11:03:02
PROD0023_V2_STEP006_ISSUE,PROD0023_V2,PROD0023,PROD0023_V2_STEP006,数据问题,托管行清算核对环节数据问题,协作问题,修复系统,高,2023-06-12 14:30:49,2023-06-12 15:14:17
PROD0023_V2_STEP007_ISSUE,PROD0023_V2,PROD0023,PROD0023_V2_STEP007,系统问题,估值数据准备环节系统问题,人员问题,优化流程,中,2023-06-12 15:34:19,2023-06-12 15:54:22
PROD0023_V2_STEP008_ISSUE,PROD0023_V2,PROD0023,PROD0023_V2_STEP008,数据问题,估值计算环节数据问题,系统问题,加强培训,中,2023-06-12 16:39:06,2023-06-12 17:23:50
PROD0024_V1_STEP001_ISSUE,PROD0024_V1,PROD0024,PROD0024_V1_STEP001,错误,交易指令接收环节出现数据错误，需要重新处理,系统bug,加强培训,高,2023-03-11 09:16:15,2023-03-11 09:32:31
PROD0024_V1_STEP005_ISSUE,PROD0024_V1,PROD0024,PROD0024_V1_STEP005,遗漏,估值计算环节遗漏关键步骤或数据,流程设计不完整,加强培训,低,2023-03-11 15:07:57,2023-03-11 16:14:49
PROD0026_V1_STEP004_ISSUE,PROD0026_V1,PROD0026,PROD0026_V1_STEP004,错误,清算数据接收环节出现数据错误，需要重新处理,人工操作失误,修复系统,高,2023-04-30 12:14:37,2023-04-30 12:51:41
PROD0026_V1_STEP009_ISSUE,PROD0026_V1,PROD0026,PROD0026_V1_STEP009,协作问题,托管行估值核对环节协作问题,系统问题,修复系统,低,2023-04-30 21:54:34,2023-04-30 23:00:33
PROD0026_V2_STEP004_ISSUE,PROD0026_V2,PROD0026,PROD0026_V2_STEP004,延迟,清算数据接收环节执行延迟，超出计划时间-35分钟,前置步骤延迟,加强协作机制,低,2023-09-27 11:41:00,2023-09-27 12:23:24
PROD0026_V2_STEP005_ISSUE,PROD0026_V2,PROD0026,PROD0026_V2_STEP005,数据问题,清算处理环节数据问题,协作问题,优化流程,中,2023-09-27 13:27:48,2023-09-27 14:32:11
PROD0026_V2_STEP007_ISSUE,PROD0026_V2,PROD0026,PROD0026_V2_STEP007,错误,估值数据准备环节出现数据错误，需要重新处理,计算公式错误,修正数据源,中,2023-09-27 16:03:00,2023-09-27 16:32:28
PROD0027_V1_STEP003_ISSUE,PROD0027_V1,PROD0027,PROD0027_V1_STEP003,数据问题,交易确认环节数据问题,人员问题,加强培训,中,2023-04-24 10:41:18,2023-04-24 10:55:37
PROD0027_V1_STEP008_ISSUE,PROD0027_V1,PROD0027,PROD0027_V1_STEP008,协作问题,估值计算环节协作问题,协作问题,加强培训,高,2023-04-24 16:50:13,2023-04-24 17:47:39
PROD0028_V1_STEP005_ISSUE,PROD0028_V1,PROD0028,PROD0028_V1_STEP005,数据问题,清算处理环节数据问题,系统问题,加强培训,高,2023-01-16 13:08:16,2023-01-16 14:08:43
PROD0028_V1_STEP009_ISSUE,PROD0028_V1,PROD0028,PROD0028_V1_STEP009,数据问题,托管行估值核对环节数据问题,流程设计问题,加强培训,低,2023-01-16 17:54:30,2023-01-16 18:19:58
PROD0028_V1_STEP012_ISSUE,PROD0028_V1,PROD0028,PROD0028_V1_STEP012,延迟,信息披露发布环节执行延迟，超出计划时间-20分钟,前置步骤延迟,优化数据准备流程,高,2023-01-16 19:30:18,2023-01-16 19:50:04
PROD0029_V1_STEP001_ISSUE,PROD0029_V1,PROD0029,PROD0029_V1_STEP001,系统问题,交易指令接收环节系统问题,人员问题,加强培训,高,2023-10-11 09:18:56,2023-10-11 09:37:53
PROD0029_V1_STEP006_ISSUE,PROD0029_V1,PROD0029,PROD0029_V1_STEP006,遗漏,托管行估值核对环节遗漏关键步骤或数据,流程设计不完整,优化系统提示,中,2023-10-11 16:25:16,2023-10-11 17:08:41
PROD0029_V1_STEP007_ISSUE,PROD0029_V1,PROD0029,PROD0029_V1_STEP007,遗漏,信息披露环节遗漏关键步骤或数据,人员疏忽,加强培训,高,2023-10-11 17:30:06,2023-10-11 17:51:32
PROD0029_V2_STEP007_ISSUE,PROD0029_V2,PROD0029,PROD0029_V2_STEP007,错误,信息披露环节出现数据错误，需要重新处理,数据源错误,修正数据源,中,2023-06-27 17:46:35,2023-06-27 18:04:32
PROD0031_V1_STEP001_ISSUE,PROD0031_V1,PROD0031,PROD0031_V1_STEP001,错误,交易指令接收环节出现数据错误，需要重新处理,人工操作失误,修复系统,高,2023-09-01 09:07:55,2023-09-01 09:15:51
PROD0031_V1_STEP006_ISSUE,PROD0031_V1,PROD0031,PROD0031_V1_STEP006,延迟,信息披露环节执行延迟，超出计划时间-11分钟,人员协调问题,加强协作机制,低,2023-09-01 11:55:43,2023-09-01 12:05:19
PROD0031_V2_STEP001_ISSUE,PROD0031_V2,PROD0031,PROD0031_V2_STEP001,系统问题,交易指令接收环节系统问题,流程设计问题,加强培训,中,2023-01-12 09:09:11,2023-01-12 09:18:23
PROD0031_V2_STEP004_ISSUE,PROD0031_V2,PROD0031,PROD0031_V2_STEP004,遗漏,估值计算环节遗漏关键步骤或数据,流程设计不完整,优化系统提示,低,2023-01-12 10:48:22,2023-01-12 11:10:17
PROD0032_V1_STEP007_ISSUE,PROD0032_V1,PROD0032,PROD0032_V1_STEP007,数据问题,信息披露环节数据问题,协作问题,加强培训,低,2023-01-13 16:31:22,2023-01-13 16:51:24
PROD0032_V2_STEP002_ISSUE,PROD0032_V2,PROD0032,PROD0032_V2_STEP002,协作问题,交易执行环节协作问题,协作问题,改进协作,低,2023-01-23 10:07:49,2023-01-23 10:39:24
PROD0033_V1_STEP004_ISSUE,PROD0033_V1,PROD0033,PROD0033_V1_STEP004,错误,清算数据接收环节出现数据错误，需要重新处理,人工操作失误,修正数据源,高,2023-11-07 12:01:14,2023-11-07 12:43:18
PROD0033_V1_STEP010_ISSUE,PROD0033_V1,PROD0033,PROD0033_V1_STEP010,系统问题,估值结果确认环节系统问题,人员问题,加强培训,高,2023-11-07 18:17:58,2023-11-07 18:35:41
PROD0033_V2_STEP001_ISSUE,PROD0033_V2,PROD0033,PROD0033_V2_STEP001,系统问题,交易指令接收环节系统问题,协作问题,优化流程,低,2023-06-16 09:19:02,2023-06-16 09:38:05
PROD0033_V2_STEP003_ISSUE,PROD0033_V2,PROD0033,PROD0033_V2_STEP003,遗漏,交易确认环节遗漏关键步骤或数据,流程设计不完整,完善流程设计,高,2023-06-16 10:58:14,2023-06-16 11:16:19
PROD0033_V2_STEP009_ISSUE,PROD0033_V2,PROD0033,PROD0033_V2_STEP009,延迟,托管行估值核对环节执行延迟，超出计划时间-53分钟,前置步骤延迟,升级系统性能,中,2023-06-16 17:49:05,2023-06-16 18:22:46
PROD0033_V2_STEP010_ISSUE,PROD0033_V2,PROD0033,PROD0033_V2_STEP010,数据问题,估值结果确认环节数据问题,协作问题,改进协作,高,2023-06-16 18:36:12,2023-06-16 18:49:37
PROD0034_V1_STEP013_ISSUE,PROD0034_V1,PROD0034,PROD0034_V1_STEP013,错误,信息披露发布环节出现数据错误，需要重新处理,计算公式错误,加强培训,低,2023-09-05 00:09:47,2023-09-05 00:23:00
PROD0034_V2_STEP003_ISSUE,PROD0034_V2,PROD0034,PROD0034_V2_STEP003,系统问题,交易确认环节系统问题,人员问题,改进协作,中,2023-04-14 10:57:09,2023-04-14 11:13:24
PROD0034_V2_STEP005_ISSUE,PROD0034_V2,PROD0034,PROD0034_V2_STEP005,延迟,清算处理环节执行延迟，超出计划时间-23分钟,人员协调问题,升级系统性能,低,2023-04-14 13:45:50,2023-04-14 15:04:06
PROD0034_V2_STEP012_ISSUE,PROD0034_V2,PROD0034,PROD0034_V2_STEP012,遗漏,信息披露审核环节遗漏关键步骤或数据,流程设计不完整,优化系统提示,中,2023-04-15 00:42:59,2023-04-15 01:19:30
PROD0035_V1_STEP005_ISSUE,PROD0035_V1,PROD0035,PROD0035_V1_STEP005,系统问题,估值计算环节系统问题,流程设计问题,修复系统,低,2023-04-13 15:17:20,2023-04-13 16:07:29
PROD0036_V1_STEP002_ISSUE,PROD0036_V1,PROD0036,PROD0036_V1_STEP002,错误,交易执行环节出现数据错误，需要重新处理,人工操作失误,修复系统,低,2023-08-17 10:06:10,2023-08-17 10:39:58
PROD0036_V2_STEP003_ISSUE,PROD0036_V2,PROD0036,PROD0036_V2_STEP003,协作问题,清算处理环节协作问题,流程设计问题,修复系统,低,2023-09-09 11:17:24,2023-09-09 12:03:35
PROD0036_V2_STEP005_ISSUE,PROD0036_V2,PROD0036,PROD0036_V2_STEP005,延迟,估值计算环节执行延迟，超出计划时间-47分钟,前置步骤延迟,升级系统性能,高,2023-09-09 13:55:38,2023-09-09 14:32:08
PROD0036_V2_STEP007_ISSUE,PROD0036_V2,PROD0036,PROD0036_V2_STEP007,遗漏,信息披露环节遗漏关键步骤或数据,系统提示不足,加强培训,中,2023-09-09 15:59:31,2023-09-09 16:17:52
PROD0037_V1_STEP001_ISSUE,PROD0037_V1,PROD0037,PROD0037_V1_STEP001,数据问题,交易指令接收环节数据问题,协作问题,修复系统,低,2023-11-04 09:21:33,2023-11-04 09:43:06
PROD0037_V1_STEP007_ISSUE,PROD0037_V1,PROD0037,PROD0037_V1_STEP007,遗漏,估值数据准备环节遗漏关键步骤或数据,人员疏忽,加强培训,低,2023-11-04 16:46:11,2023-11-04 17:24:19
PROD0037_V1_STEP008_ISSUE,PROD0037_V1,PROD0037,PROD0037_V1_STEP008,错误,估值计算环节出现数据错误，需要重新处理,数据源错误,加强培训,高,2023-11-04 18:37:58,2023-11-04 19:51:38
PROD0037_V1_STEP012_ISSUE,PROD0037_V1,PROD0037,PROD0037_V1_STEP012,数据问题,信息披露审核环节数据问题,流程设计问题,加强培训,中,2023-11-04 23:22:39,2023-11-04 23:54:22
PROD0037_V1_STEP013_ISSUE,PROD0037_V1,PROD0037,PROD0037_V1_STEP013,系统问题,信息披露发布环节系统问题,系统问题,优化流程,中,2023-11-05 00:15:55,2023-11-05 00:37:28
PROD0038_V1_STEP006_ISSUE,PROD0038_V1,PROD0038,PROD0038_V1_STEP006,错误,托管行清算核对环节出现数据错误，需要重新处理,计算公式错误,修正数据源,高,2023-10-04 15:12:06,2023-10-04 15:38:56
PROD0038_V1_STEP008_ISSUE,PROD0038_V1,PROD0038,PROD0038_V1_STEP008,延迟,估值计算环节执行延迟，超出计划时间-21分钟,系统响应慢,优化数据准备流程,中,2023-10-04 17:48:03,2023-10-04 19:07:27
PROD0038_V1_STEP009_ISSUE,PROD0038_V1,PROD0038,PROD0038_V1_STEP009,延迟,托管行估值核对环节执行延迟，超出计划时间-17分钟,数据准备不及时,升级系统性能,中,2023-10-04 19:59:06,2023-10-04 20:50:44
PROD0038_V2_STEP009_ISSUE,PROD0038_V2,PROD0038,PROD0038_V2_STEP009,遗漏,托管行估值核对环节遗漏关键步骤或数据,人员疏忽,优化系统提示,低,2023-05-06 20:00:45,2023-05-06 21:03:08
PROD0038_V2_STEP011_ISSUE,PROD0038_V2,PROD0038,PROD0038_V2_STEP011,延迟,信息披露准备环节执行延迟，超出计划时间-30分钟,人员协调问题,优化数据准备流程,低,2023-05-06 22:17:52,2023-05-06 23:02:37
PROD0039_V1_STEP008_ISSUE,PROD0039_V1,PROD0039,PROD0039_V1_STEP008,协作问题,估值计算环节协作问题,系统问题,加强培训,低,2023-06-13 17:08:25,2023-06-13 18:13:28
PROD0039_V2_STEP001_ISSUE,PROD0039_V2,PROD0039,PROD0039_V2_STEP001,系统问题,交易指令接收环节系统问题,人员问题,改进协作,中,2023-03-09 09:19:17,2023-03-09 09:38:34
PROD0039_V2_STEP002_ISSUE,PROD0039_V2,PROD0039,PROD0039_V2_STEP002,遗漏,交易执行环节遗漏关键步骤或数据,人员疏忽,建立检查清单,中,2023-03-09 10:05:34,2023-03-09 10:32:34
PROD0039_V2_STEP010_ISSUE,PROD0039_V2,PROD0039,PROD0039_V2_STEP010,错误,估值结果确认环节出现数据错误，需要重新处理,系统bug,修正计算逻辑,中,2023-03-09 18:34:49,2023-03-09 18:47:02
PROD0040_V1_STEP008_ISSUE,PROD0040_V1,PROD0040,PROD0040_V1_STEP008,遗漏,估值计算环节遗漏关键步骤或数据,流程设计不完整,加强培训,中,2023-08-16 16:37:14,2023-08-16 17:22:12
PROD0040_V1_STEP009_ISSUE,PROD0040_V1,PROD0040,PROD0040_V1_STEP009,延迟,托管行估值核对环节执行延迟，超出计划时间-47分钟,系统响应慢,调整时间安排,中,2023-08-16 17:58:56,2023-08-16 18:35:39
PROD0040_V1_STEP011_ISSUE,PROD0040_V1,PROD0040,PROD0040_V1_STEP011,协作问题,信息披露准备环节协作问题,系统问题,修复系统,中,2023-08-16 19:38:37,2023-08-16 19:57:16
PROD0041_V1_STEP004_ISSUE,PROD0041_V1,PROD0041,PROD0041_V1_STEP004,协作问题,估值计算环节协作问题,流程设计问题,改进协作,高,2023-10-15 10:43:50,2023-10-15 11:01:48
PROD0042_V1_STEP005_ISSUE,PROD0042_V1,PROD0042,PROD0042_V1_STEP005,遗漏,清算处理环节遗漏关键步骤或数据,检查清单缺失,加强培训,低,2023-07-04 13:44:03,2023-07-04 14:42:49
PROD0042_V1_STEP013_ISSUE,PROD0042_V1,PROD0042,PROD0042_V1_STEP013,延迟,信息披露发布环节执行延迟，超出计划时间-20分钟,前置步骤延迟,调整时间安排,高,2023-07-05 00:58:22,2023-07-05 01:18:13
PROD0042_V2_STEP003_ISSUE,PROD0042_V2,PROD0042,PROD0042_V2_STEP003,协作问题,交易确认环节协作问题,协作问题,加强培训,中,2023-10-17 11:03:43,2023-10-17 11:24:53
