product_id,product_name,product_type,asset_class,investment_scope,trading_market,custodian,investment_strategy,risk_level,trading_frequency,settlement_cycle,valuation_method,disclosure_frequency,special_requirements
PROD0024,易方达FOF基金24号,FOF,股票,境外股票,香港交易所,建设银行,主动管理,低,高频,T+2,市价法,每周,杠杆投资
PROD0025,易方达货币型基金25号,货币型,货币市场工具,混合资产,银行间市场,中信银行,流动性管理,低,高频,T+0,摊余成本法,每日,衍生品投资
PROD0026,易方达股票型基金26号,股票型,股票,境外股票,美国市场,工商银行,指数跟踪,高,中频,T+1,市价法,季度,无
PROD0027,易方达债券型基金27号,债券型,债券,境外债券,多市场,浦发银行,信用债,低,中频,T+1,摊余成本法,季度,衍生品投资
PROD0028,易方达债券型基金28号,债券型,债券,境外股票,银行间市场,浦发银行,利率债,低,中频,T+1,市价法,季度,衍生品投资
PROD0029,易方达FOF基金29号,FOF,混合资产,境外债券,沪深交易所,招商银行,被动管理,中高,中频,T+2,混合法,季度,跨境投资
PROD0030,易方达债券型基金30号,债券型,债券,境内债券,多市场,招商银行,信用债,低,中频,T+1,摊余成本法,季度,跨境投资
PROD0031,易方达货币型基金31号,货币型,货币市场工具,境内股票,多市场,建设银行,流动性管理,低,高频,T+0,摊余成本法,每日,杠杆投资
PROD0032,易方达FOF基金32号,FOF,债券,混合资产,银行间市场,工商银行,被动管理,中高,低频,T+2,摊余成本法,季度,杠杆投资
PROD0033,易方达债券型基金33号,债券型,债券,境内债券,银行间市场,招商银行,利率债,中低,低频,T+1,摊余成本法,季度,衍生品投资
PROD0034,易方达股票型基金34号,股票型,股票,境外债券,香港交易所,工商银行,指数跟踪,中高,高频,T+1,市价法,季度,衍生品投资
PROD0035,易方达混合型基金35号,混合型,股票,境内股票,多市场,浦发银行,主动管理,中,低频,T+1,市价法,季度,衍生品投资
PROD0036,易方达FOF基金36号,FOF,债券,境内债券,美国市场,建设银行,被动管理,中低,低频,T+2,市价法,每周,跨境投资
PROD0037,易方达股票型基金37号,股票型,股票,境外债券,香港交易所,工商银行,量化投资,高,高频,T+1,市价法,季度,杠杆投资
PROD0038,易方达股票型基金38号,股票型,股票,混合资产,银行间市场,招商银行,指数跟踪,中高,高频,T+1,市价法,季度,衍生品投资
PROD0039,易方达债券型基金39号,债券型,债券,混合资产,多市场,建设银行,利率债,低,低频,T+1,摊余成本法,季度,杠杆投资
PROD0040,易方达债券型基金40号,债券型,债券,境内债券,沪深交易所,浦发银行,利率债,低,中频,T+1,市价法,季度,
PROD0041,易方达货币型基金41号,货币型,货币市场工具,混合资产,银行间市场,中信银行,流动性管理,低,高频,T+0,摊余成本法,每日,杠杆投资
PROD0042,易方达QDII基金42号,QDII,股票,境内债券,多市场,招商银行,混合策略,中高,中频,T+2,混合法,每周,
PROD0043,易方达股票型基金43号,股票型,股票,境外债券,多市场,建设银行,指数跟踪,中高,高频,T+1,市价法,季度,无
PROD0044,易方达FOF基金44号,FOF,股票,境内债券,香港交易所,建设银行,混合策略,高,低频,T+2,摊余成本法,季度,
PROD0045,易方达货币型基金45号,货币型,货币市场工具,境外债券,香港交易所,招商银行,流动性管理,低,高频,T+0,摊余成本法,每日,衍生品投资
PROD0046,易方达债券型基金46号,债券型,债券,境外债券,多市场,工商银行,可转债,低,低频,T+1,摊余成本法,季度,跨境投资
PROD0047,易方达混合型基金47号,混合型,债券,混合资产,美国市场,工商银行,混合策略,中,中频,T+1,摊余成本法,每日,杠杆投资
PROD0048,易方达QDII基金48号,QDII,债券,境内股票,沪深交易所,中信银行,混合策略,低,低频,T+1,摊余成本法,每周,
PROD0049,易方达债券型基金49号,债券型,债券,境内股票,美国市场,工商银行,利率债,中低,低频,T+1,摊余成本法,季度,衍生品投资
PROD0050,易方达股票型基金50号,股票型,股票,境内股票,香港交易所,招商银行,指数跟踪,高,高频,T+1,市价法,季度,杠杆投资
